IdEmpleado,IdEmpresa,IdLiquidacion,IdTurno,IdPermiso,Fecha,Descripcion,TipoDeDescripcion,MarcacionEntrada,MarcacionSalida,HTRAB,HO,HDES,HED,HEN,HEDF,RN,TempDomLab,HRET,HSANT,HOPermisoRemunerado,IdProgramacion,HoraInicioPermiso,HoraFinPermiso,FechaCompensatorio,nombre_dia
52.0,6.0,695222.0,18.0,,2023-04-09,14:00 - 22:00 (Domingo),2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2869.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
52.0,6.0,695223.0,,,2023-04-10,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Monday
52.0,6.0,695224.0,,,2023-04-11,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2898.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Tuesday
52.0,6.0,695225.0,,,2023-04-12,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Wednesday
52.0,6.0,695226.0,,,2023-04-13,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2824.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
52.0,6.0,695227.0,,,2023-04-14,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Friday
52.0,6.0,695228.0,,,2023-04-15,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Saturday
52.0,6.0,695229.0,,,2023-04-16,FNP(DOM),4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunday
52.0,6.0,695230.0,,,2023-04-17,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Monday
52.0,6.0,695231.0,,,2023-04-18,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
52.0,6.0,695232.0,19.0,,2023-04-19,06:00 - 14:00,2.0, 05:45, 16:30,10.75,8.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2832.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
52.0,6.0,695232.0,19.0,,2023-04-19,06:00 - 14:00,2.0, 05:45, 16:30,10.75,8.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2833.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
52.0,6.0,695232.0,19.0,,2023-04-19,06:00 - 14:00,2.0, 05:45, 16:30,10.75,8.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
52.0,6.0,695233.0,19.0,3.0,2023-04-20,06:00 - 14:00,2.0, 06:00, 12:00,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2835.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
52.0,6.0,695233.0,19.0,3.0,2023-04-20,06:00 - 14:00,2.0, 06:00, 12:00,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2836.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
52.0,6.0,695233.0,19.0,3.0,2023-04-20,06:00 - 14:00,2.0, 06:00, 12:00,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2887.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
52.0,6.0,695233.0,19.0,3.0,2023-04-20,06:00 - 14:00,2.0, 06:00, 12:00,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2899.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
52.0,6.0,695233.0,19.0,3.0,2023-04-20,06:00 - 14:00,2.0, 06:00, 12:00,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2900.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
53.0,1.0,2713.0,,,2022-02-01,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
53.0,1.0,2715.0,,,2022-02-04,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Friday
53.0,1.0,2719.0,,,2022-02-05,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Saturday
53.0,1.0,2720.0,,,2022-02-02,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Wednesday
53.0,1.0,2726.0,,,2022-02-06,Dom Rem,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunday
53.0,1.0,2727.0,,,2022-02-03,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Thursday
53.0,1.0,3068.0,,,2022-09-12,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Monday
53.0,1.0,3069.0,,,2022-09-13,inconsistencia,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
53.0,1.0,3070.0,,,2022-09-14,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Wednesday
53.0,1.0,3071.0,,,2022-09-15,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
53.0,1.0,3072.0,,,2022-09-16,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,3073.0,,,2022-09-17,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1921.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
53.0,1.0,706457.0,,,2023-11-24,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Friday
53.0,1.0,706458.0,,,2023-11-25,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Saturday
53.0,1.0,706459.0,,,2023-11-26,FNP(DOM),4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunday
53.0,1.0,706460.0,,,2023-11-27,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Monday
53.0,1.0,706461.0,,,2023-11-28,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
53.0,1.0,706462.0,,,2023-11-29,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Wednesday
53.0,1.0,706463.0,,,2023-11-30,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Thursday
53.0,1.0,706464.0,,,2023-12-01,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Friday
53.0,1.0,706465.0,,,2023-12-02,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Saturday
53.0,1.0,706466.0,,,2023-12-03,FNP(DOM),4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunday
53.0,1.0,706467.0,48.0,,2023-12-04,Turno prueba,2.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Monday
53.0,1.0,706468.0,48.0,,2023-12-05,Turno prueba,2.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
53.0,1.0,706470.0,20.0,,2023-03-01,08:00 - 18:00,2.0, 08:00, 18:00,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
53.0,1.0,706470.0,20.0,,2023-03-01,08:00 - 18:00,2.0, 08:00, 18:00,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
53.0,1.0,706471.0,20.0,,2023-03-02,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2324.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
53.0,1.0,706472.0,20.0,,2023-03-03,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,706473.0,20.0,,2023-03-04,08:00 - 18:00,2.0, 08:00, 18:00,10.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2326.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
53.0,1.0,706474.0,20.0,,2023-03-05,08:00 - 18:00 (Domingo),2.0, 08:00, 18:00,10.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2327.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
53.0,1.0,706475.0,20.0,,2023-03-06,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2328.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Monday
53.0,1.0,706476.0,20.0,,2023-03-07,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2329.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Tuesday
53.0,1.0,706477.0,20.0,,2023-03-08,08:00 - 18:00,2.0, 08:00, 18:00,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2330.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Wednesday
53.0,1.0,706478.0,20.0,,2023-03-09,08:00 - 18:00,2.0, 08:00, 16:14,8.23,7.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,2331.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
53.0,1.0,706479.0,20.0,,2023-03-10,08:00 - 18:00,2.0, 09:29 17:56, 17:24 17:58,7.95,6.98,1.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,2332.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
53.0,1.0,706480.0,20.0,,2023-03-11,08:00 - 18:00,2.0, 08:00, 18:00,10.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2333.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
53.0,1.0,706481.0,20.0,,2023-03-12,08:00 - 18:00 (Domingo),2.0, 08:00, 18:00,10.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2334.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
